"Story","Title","Result","Date","Stability","Duration (s)"
"Update Mentee Profile","Update profile Mentee with all valid data","SUCCESS","2022-11-14T05:00:48.149+07:00[Asia/Bangkok]","0.0","4.75"
"Update Mentee Profile","Update name Mentee with Numeric","SUCCESS","2022-11-14T05:00:52.915+07:00[Asia/Bangkok]","0.0","3.67"
"Update Mentee Profile","Update name Mentee with Special char","SUCCESS","2022-11-14T05:00:56.605+07:00[Asia/Bangkok]","0.0","4.67"
"Update Mentee Profile","Update name Mentee with more than maximum char","SUCCESS","2022-11-14T05:01:01.293+07:00[Asia/Bangkok]","0.0","3.62"
"Update Mentee Profile","Update email Mentee without '@'","SUCCESS","2022-11-14T05:01:04.93+07:00[Asia/Bangkok]","0.0","3.71"
"Update Mentee Profile","Update email Mentee with full numeric email address","SUCCESS","2022-11-14T05:01:08.653+07:00[Asia/Bangkok]","0.0","3.59"
"Update Mentee Profile","Update email Mentee with space email address","SUCCESS","2022-11-14T05:01:12.263+07:00[Asia/Bangkok]","0.0","3.62"
"Update Mentee Profile","Update email Mentee with capital email address","SUCCESS","2022-11-14T05:01:15.902+07:00[Asia/Bangkok]","0.0","3.61"
"Update Mentee Profile","Update email Mentee with more than max char email name","SUCCESS","2022-11-14T05:01:19.532+07:00[Asia/Bangkok]","0.0","3.64"
"Update Mentee Profile","Update password Mentee with numeric only","SUCCESS","2022-11-14T05:01:23.19+07:00[Asia/Bangkok]","0.0","3.69"
"Update Mentee Profile","Update password Mentee with string only","SUCCESS","2022-11-14T05:01:26.896+07:00[Asia/Bangkok]","0.0","3.66"
"Update Mentee Profile","Update password Mentee with special character only","SUCCESS","2022-11-14T05:01:30.571+07:00[Asia/Bangkok]","0.0","3.7"
"Update Mentee Profile","Update Password Mentee with more than maximal character","SUCCESS","2022-11-14T05:01:34.282+07:00[Asia/Bangkok]","0.0","3.6"
"Update Mentee Profile","Update Password Mentee with less than minimum character","SUCCESS","2022-11-14T05:01:37.901+07:00[Asia/Bangkok]","0.0","4.74"
"Update Mentee Profile","Update profile Images Mentee with invalid Images extension","SUCCESS","2022-11-14T05:01:42.664+07:00[Asia/Bangkok]","0.0","5.22"
"Update Mentee Profile","Update profile Mentee with empty data","SUCCESS","2022-11-14T05:01:47.901+07:00[Asia/Bangkok]","0.0","3.84"
"Update Mentee Profile","Update email Mentee without '.'","SUCCESS","2022-11-14T05:01:51.761+07:00[Asia/Bangkok]","0.0","3.68"
"Update Mentee Profile","Update password Mentee space ( ) char","SUCCESS","2022-11-14T05:01:55.469+07:00[Asia/Bangkok]","0.0","3.78"
